"","uid","multiapply_ind","gjj_flag","flt_flag","car_flag","sz_flag","credit_card_flag","eb_value_ind","birth_year","brand_level","al_date1","al_date2","al_date3","al_date1_bank","al_date1_nbank","al_id_m3_num","al_id_m3_bank_num","al_id_m3_nbank_orgnum","al_id_m6_nbank_orgnum","flag_bank","flag_nbank_cons","flag_nbank_cash","last_job_opendate","fst_opendate","salary","flight_id","high_id","flt_m8_id","qmonth","acm_cardindex","debit_balance_m6_avg","debit_in_m6","debit_in_num_m6","debit_out_m6","debit_out_num_m6","credit_out_m6","credit_out_num_m6","credit_cash_m6","credit_cash_month_m6","credit_def_month_m6","debit_balance_m12_avg","debit_in_m12","debit_in_num_m12","debit_out_m12","debit_out_num_m12","credit_out_m12","credit_out_num_m12","credit_cash_m12","credit_cash_month_m12","credit_def_month_m12","mobile_weight","user_level","user_vip","eb_amt_avg","eb_freq","life_house","life_car","life_marry","life_mommy","life_child","consumption_flag","cons_cont","cons_time_recent","cons_tot_m3_num","cons_tot_m3_pay","cons_tot_m3_p_catenum","cons_tot_m3_v_catenum","cons_tot_m3_visits","cons_tot_m12_num","cons_tot_m12_pay","cons_tot_m12_p_catenum","cons_tot_m12_v_catenum","cons_tot_m12_visits","cons_max_m3_num","cons_max_m3_pay","cons_max_m3_paycate","cons_max_m12_num","cons_max_m12_pay","cons_max_m12_paycate","cons_m3_RYBH_num","cons_m3_RYBH_pay","cons_m3_JYDQ_num","cons_m3_JYDQ_pay","cons_m3_MYYP_num","cons_m3_MYYP_pay","cons_m12_RYBH_num","cons_m12_RYBH_pay","cons_m12_JYDQ_num","cons_m12_JYDQ_pay","cons_m12_MYYP_num","cons_m12_MYYP_pay","same_prov","same_city","current_age","al_date1_length","al_date2_length","al_date3_length","al_id_m3_num_combine","al_id_m3_bank_num_combine","al_id_m3_nbank_orgnum_combine","al_id_m6_nbank_orgnum_combine","last_job_opendate_length","fst_opendate_length","NA1_TYPE1","NA1_TYPE2","NA1_TYPE3","GENDER","P_PROV","H_PROV"
"11","00059E7EFE7B2FE10467C70AAADE896F",0,0,0,0,1,1,0,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201605,7,0,4e+05,NA,3e+05,NA,5000,NA,0,0,0,250,9e+05,NA,7e+05,NA,7500,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M1","T1",2,90,1,1,10,2,90,1,1,10,2,90,"C22",2,90,"C22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Male","A17","A24"
"12","0006010A3072CAD602D7E3CD5C4B0917",0,0,0,0,1,1,1,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201605,11,11208,2250000,NA,1200000,NA,75000,NA,0,0,0,32468,3550000,NA,2400000,NA,75000,NA,0,0,0,76,5,2,470,4,0,1,1,0,0,1,"M4","T1",43,6000,9,13,2125,111,10000,11,15,3079,12,2000,"C7",42,6000,"C7",NA,NA,6,600,3,200,0,0,8,800,42,3000,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Male","Unknown","A5"
"13","0006EDA5F6264C7C66F8C46CD21853DE",0,1,0,0,1,1,1,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17339,17339,15500,NA,NA,NA,201605,7,250,15750,NA,0,NA,202500,NA,0,0,0,250,16000,NA,0,NA,286750,NA,0,0,0,93,5,0,1279,49,1,1,1,1,1,1,"M4","T1",76,5000,14,19,699,157,20000,18,19,926,18,1000,"C14",45,4000,"C7",14,300,0,0,18,1000,20,700,1,100,45,3000,1,1,37,NA,NA,NA,NA,NA,NA,NA,3540,3540,"","","","Female","A30","A30"
"14","00073344C46D0F15079D0FEA4279C713",0,0,1,0,1,1,0,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,201605,9,1416,75000,NA,95000,NA,2650000,NA,0,0,0,1375,175000,NA,205000,NA,2690000,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M1","T1",6,400,1,1,30,6,400,1,1,30,6,400,"C1",6,400,"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Male","A5","A5"
"15","0007460196809370C7B66AE594696E72",1,1,0,0,1,1,1,1978,NA,20161216,20161208,NA,NA,20161216,2,0,1,1,0,1,0,18914,18914,1720,NA,NA,NA,201605,5,0,750,NA,0,NA,105000,NA,0,0,0,0,750,NA,0,NA,131250,NA,0,0,0,83,7,4,1896,31,1,1,1,1,1,1,"M4","T1",85,30000,9,14,938,179,40000,12,18,2792,39,20000,"C11",81,20000,"C11",0,0,7,20000,39,4000,1,60,7,20000,81,8000,1,1,39,75,83,NA,2,0,1,1,1965,1965,"A9","A9","","Female","A1","A1"
"16","000908576EB31FF97F4BEE708CD897CF",0,1,0,0,1,1,1,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19005,18358,4171,NA,NA,NA,201605,3,0,6000,NA,13500,NA,16250,NA,0,0,0,0,7750,NA,13500,NA,20250,NA,250,3,0,10,6,2,88,3,1,1,0,1,1,1,"M4","T1",3,40,1,1,15,10,200,2,3,50,3,40,"C1",7,90,"C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,NA,NA,NA,NA,NA,NA,NA,1874,2521,"","","","Female","A15","A15"
"17","0009ECC18C7D421C25DDE174C4E43C32",1,0,0,0,NA,1,0,1987,NA,20161021,NA,NA,20161021,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M4","T1",7,300,2,2,35,47,4000,5,5,235,4,200,"C7",20,2000,"C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,131,NA,NA,0,0,0,0,NA,NA,"A13","","","Male","A23","A23"
"18","000B4FCBA4DE69332A17E0795558295A",0,0,0,0,1,1,1,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201605,15,5312,22500,NA,60000,NA,70000,NA,0,0,0,4291,720000,NA,72750,NA,101750,NA,0,0,0,89,6,3,267,6,0,1,0,0,0,1,"M3","T1",39,4000,6,12,496,59,7000,7,14,673,14,1000,"C7",20,2000,"C7",14,700,0,0,4,200,20,1000,0,0,6,200,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Female","Unknown","A13"
"19","000C268F30CA52B1D031BC6578A5AF65",0,1,0,0,1,1,0,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18107,17974,11150,NA,NA,NA,201605,5,0,0,NA,0,NA,6e+05,NA,3250,1,0,0,0,NA,0,NA,812500,NA,3250,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M4","T1",3,700,1,1,15,16,2000,3,4,80,3,700,"C1",11,1000,"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,2772,2905,"","","","Male","Unknown","A15"
"20","000CEBBF3016ADF72021326BAD8BC588",1,0,0,0,NA,1,1,1984,NA,20160929,20160530,20160125,NA,20160929,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,6,3,728,19,1,1,1,1,1,1,"M4","T1",75,10000,9,15,1244,207,20000,17,17,2142,47,9000,"C7",77,10000,"C7",0,0,1,100,4,300,10,80,4,2000,25,1000,1,1,33,153,275,401,0,0,0,1,NA,NA,"A1","A8","A5","Male","A21","A21"
"21","000D7C94EFC3C374576CA0D09AC9F732",1,1,1,0,1,1,1,1986,NA,20160713,NA,NA,20160713,NA,0,0,0,0,1,0,0,19589,18088,8000,1,0,0,201609,13,0,250,4,0,0,50000,53,0,0,0,0,14750,22,11500,2,227500,13,0,0,0,10,5,3,708,20,1,1,1,0,0,1,"M4","T1",28,2000,5,15,2532,93,6000,7,17,3573,11,1000,"C7",41,3000,"C1",11,600,NA,NA,3,100,16,900,0,0,4,200,0,0,31,231,NA,NA,0,0,0,0,1290,2791,"A13","","","Female","A14","A2"
"22","000DEB600EB693FBF3E136F294942D3F",0,1,0,0,1,1,1,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16981,16981,2000,NA,NA,NA,201605,2,0,0,NA,0,NA,8500,NA,0,0,0,0,0,NA,0,NA,21750,NA,0,0,0,74,3,2,0,0,NA,1,NA,NA,NA,1,"M4","T1",53,10000,2,17,8136,72,10000,6,19,10512,52,10000,"C7",57,10000,"C7",0,0,0,0,0,0,5,50,0,0,0,0,1,1,34,NA,NA,NA,NA,NA,NA,NA,3898,3898,"","","","Male","A21","A21"
"23","000EF937BF264A71190A2FD65306118C",0,1,0,0,1,1,1,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200,20200,2000,NA,NA,NA,201612,31,138875,1750000,46,4e+06,16,1e+06,13,9500,3,0,141656,10750000,18,1.2e+07,44,11200000,20,18000,9,0,98,7,4,2826,39,1,1,1,1,1,1,"M4","T1",120,20000,9,17,3433,248,40000,17,23,7435,85,20000,"C23",166,30000,"C7",4,40,1,20,19,2000,8,100,4,1000,31,3000,1,1,38,NA,NA,NA,NA,NA,NA,NA,679,679,"","","","Male","A3","A3"
"24","000F6A20668E1F1D527BC592E23F455F",0,0,1,1,NA,1,1,1991,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,3,2,180,3,0,NA,0,0,0,1,"M4","T1",14,1000,2,2,70,39,4000,4,4,195,10,700,"C3",22,2000,"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Male","A12","A12"
"25","000FD370D86AF07CA59E874079507DC2",0,0,0,0,1,1,1,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201605,8,2416,60000,NA,65000,NA,60000,NA,0,0,0,3187,1e+05,NA,105000,NA,83250,NA,0,0,0,87,4,2,582,16,1,1,0,0,0,1,"M4","T1",4,300,1,2,20,21,2000,5,4,93,3,300,"C16",13,1000,"C1",NA,NA,NA,NA,NA,NA,2,80,NA,NA,NA,NA,0,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Female","Unknown","A11"
"26","00108459727C5C0DDC459BB72BCFA5A8",0,0,1,0,1,1,0,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,201605,7,35958,3e+05,NA,75000,NA,3e+05,NA,2250,1,0,31968,465000,NA,185000,NA,355000,NA,6750,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M4","T1",7,400,1,1,35,22,1000,1,1,110,7,400,"C22",22,1000,"C22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Male","A24","A24"
"27","00108E5CAFD943556212E2AF2E93C5C3",0,0,0,0,NA,1,1,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,4,1,80,3,1,NA,0,0,0,1,"M1","T1",1,60,1,1,5,1,60,1,1,5,1,60,"C1",1,60,"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Male","A10","A21"
"28","00119F66270A6C82CE02185EBA0DC56F",0,1,0,0,1,1,0,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19039,19039,6967,NA,NA,NA,201605,10,0,1250,NA,0,NA,207500,NA,250,1,0,0,6000,NA,0,NA,707500,NA,250,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M1","T1",4,6,1,2,20,4,6,1,2,20,3,6,"C16",3,6,"C16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,1840,1840,"","","","Female","Unknown","A15"
"29","0011E04D52F4982BEBD37746594EF2DB",0,1,1,0,1,1,1,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18760,18760,6383,1,0,0,201605,4,0,0,NA,12500,NA,150000,NA,0,0,0,0,0,NA,12500,NA,187500,NA,0,0,0,93,7,4,1600,18,1,1,1,0,1,1,"M4","T1",3,400,1,1,15,19,2000,3,4,95,3,400,"C1",15,2000,"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,NA,NA,NA,NA,NA,NA,NA,2119,2119,"","","","Male","A30","A30"
"30","0011E86E5DD11B857822D5A446804C24",0,1,1,0,1,1,1,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19688,19688,4100,1,0,0,201608,10,4458,2150000,47,1600000,12,79750,12,0,0,0,3406,3250000,11,2600000,26,93250,19,0,0,0,78,4,2,876,15,0,1,0,1,1,1,"M4","T1",5,300,2,3,25,18,800,3,3,90,3,200,"C1",11,800,"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,1191,1191,"","","","Male","Unknown","A16"
"31","001235020546CC431229BA65754D1D7A",0,0,0,0,1,1,1,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201605,21,0,707500,NA,17250,NA,1e+06,NA,16750,5,0,0,787500,NA,42250,NA,1700000,NA,31250,11,0,81,3,1,96,3,0,1,0,0,0,1,"M4","T1",3,400,3,12,1137,23,2000,11,16,1692,1,300,"C25",7,900,"C7",0,0,0,0,0,0,1,90,0,0,0,0,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Female","Unknown","A21"
"32","00126DFCB72DFF8612E184E33DDF38E7",0,0,0,0,1,1,1,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201605,2,0,150000,NA,150000,NA,85000,NA,0,0,0,0,150000,NA,150000,NA,92750,NA,0,0,0,98,6,3,671,11,1,1,1,0,0,1,"M4","T1",23,600,6,19,436,133,2000,10,20,654,8,200,"C11",67,500,"C13",0,0,2,200,0,0,2,200,2,200,0,0,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Female","Unknown","A24"
"33","0013C7404BE088663BC6F473DF3068DC",0,0,1,0,1,1,1,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,201605,5,0,0,NA,7750,NA,172500,NA,0,0,0,0,0,NA,7750,NA,241750,NA,0,0,0,10,8,4,3813,22,1,1,1,0,1,1,"M4","T1",34,3000,7,19,746,90,7000,10,20,1395,8,1000,"C1",29,2000,"C10",0,0,NA,NA,0,0,0,0,NA,NA,29,1000,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Female","A21","A24"
"34","00148D4A6DE95FFAF232E43B5560F736",0,1,0,0,1,1,0,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18329,18329,1686,NA,NA,NA,201605,10,500,152250,NA,6000,NA,3e+05,NA,0,0,0,500,159250,NA,13500,NA,7e+05,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M4","T1",21,3000,7,9,183,38,5000,10,16,546,5,1000,"C25",8,2000,"C25",NA,NA,NA,NA,1,40,1,100,0,0,1,40,1,1,34,NA,NA,NA,NA,NA,NA,NA,2550,2550,"","","","Male","A21","A21"
"35","00151CB8227591AF4B45C3B4AD24F705",0,0,0,0,1,1,1,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201605,6,9400,217500,NA,222500,NA,156250,NA,0,0,0,9250,297500,NA,292500,NA,326250,NA,0,0,0,99,6,1,1492,24,1,1,1,1,1,1,"M4","T1",28,6000,4,15,585,95,10000,7,16,1285,18,4000,"C10",48,6000,"C10",0,0,0,0,18,2000,0,0,0,0,48,4000,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Female","A21","A21"
"36","0015C4601F45A6A1E9A946092F1CF49F",1,0,0,0,NA,0,0,1990,NA,20151109,NA,NA,20151109,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M4","T1",17,900,6,20,919,82,6000,14,24,1819,5,600,"C7",26,2000,"C7",1,3,0,0,0,0,3,40,0,0,0,0,0,0,27,478,NA,NA,0,0,0,0,NA,NA,"A13","","","Male","A12","A24"
"37","0016AD1B6BB98D3B14ABDCC9AAC6F787",1,0,1,0,NA,1,0,1986,NA,20160216,NA,NA,20160216,NA,0,0,0,0,1,0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M4","T1",4,600,3,3,20,22,1000,3,4,110,2,400,"C26",11,500,"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,31,379,NA,NA,0,0,0,0,NA,NA,"A13","","","Male","A17","A24"
"38","0016C5D95F4F1450DBB5F5D4F3AE4138",1,1,0,0,NA,1,1,1986,NA,20161128,20161027,20160920,20161128,NA,1,1,0,1,1,1,0,18577,18577,6817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,6,4,1571,9,1,1,1,0,1,1,"M4","T1",51,10000,10,15,310,95,20000,13,16,603,18,3000,"C7",34,6000,"C5",NA,NA,4,700,6,700,NA,NA,4,700,10,1000,1,1,31,93,125,162,1,1,0,1,2302,2302,"A13","A9","A9","Male","A15","A15"
